tconst	averageRating	numVotes
tt0000346	4.7	254
tt0000347	4.4	128
tt0000349	5.5	152
tt0000350	5.7	806
tt0000352	5.4	67
tt0000353	5.1	400
tt0000355	6.2	837
tt0000357	5.8	542
tt0000358	6.2	829
tt0000359	7.1	3352
tt0000361	7.4	27
tt0000363	6.2	217
tt0000364	5.5	179
tt0000368	6.6	23
tt0000370	5.6	652
tt0000373	6.3	138
tt0000376	5.9	24
tt0000377	6	156
tt0000379	4.1	14
tt0000380	6.8	29
tt0000381	3.6	29
tt0000384	5.8	399
tt0000387	5.1	458
tt0000388	5.2	153
tt0000399	6.1	839
tt0000400	5.8	18
tt0000402	6.1	15
tt0000406	5.7	50
tt0000407	3.8	47
tt0000409	5.1	301
tt0000410	6.7	1141
tt0000412	4.4	32
tt0000413	5.5	539
tt0000414	5.4	847
tt0000416	5.4	222
tt0000417	8.1	58001
tt0000420	6.2	3014
tt0000422	5	10
tt0000423	5.5	276
tt0000425	4.9	27
tt0000426	4	23
tt0000430	5.8	750
tt0000432	5.7	267
tt0000436	6.1	572
tt0000437	5.1	324
tt0000439	7.2	21744
tt0000440	5.4	265
tt0000441	7.2	12
tt0000442	4.5	114
tt0000443	5.8	14
tt0000446	4.8	26
tt0000447	6.4	2827
tt0000451	6.5	1113
tt0000452	4.6	124
tt0000455	6.7	2002
tt0000456	4	68
tt0000459	4.4	81
tt0000464	4.8	513
tt0000465	7.3	1965
tt0000469	5.8	1204
tt0000471	5.2	555
tt0000472	6.2	25
tt0000479	5.2	430
tt0000480	5	233
tt0000487	6.8	574
tt0000488	6.9	926
tt0000491	3.8	72
tt0000492	4.8	159
tt0000495	5.9	135
tt0000496	5.7	79
tt0000497	5.2	97
tt0000498	6.6	1386
tt0000499	7.5	4211
tt0000501	4.7	56
tt0000502	3.8	20
tt0000505	6.2	34
tt0000506	4.8	10
tt0000507	3.4	64
tt0000509	5.6	55
tt0000511	6	53
tt0000512	4.4	75
tt0000515	4.7	120
tt0000516	6.5	1199
tt0000519	5.7	448
tt0000520	6.1	71
tt0000521	5.5	368
tt0000522	2.2	17
tt0000524	5.8	856
tt0000525	5.3	57
tt0000526	4.1	72
tt0000528	5.4	19
tt0000533	4.5	50
tt0000534	6.6	1363
tt0000535	4.8	76
tt0000537	4.3	99
tt0000543	4.3	19
tt0000544	4.6	8
tt0000546	6.7	2074
tt0000548	4.4	9
tt0000550	3.2	15
tt0000552	5.6	79
tt0000553	6.5	573
tt0000554	6.2	1567
tt0000555	5.1	22
tt0000557	4.6	150
tt0000561	4.9	73
tt0000565	6.2	712
tt0000567	6.8	1485
tt0000570	3.9	61
tt0000571	6.7	74
tt0000574	6	973
tt0000575	5.7	607
tt0000576	6	259
tt0000578	7.2	29
tt0000581	4.2	13
tt0000582	4.7	796
tt0000583	5.2	57
tt0000584	5	93
tt0000586	5.8	27
tt0000588	4.4	12
tt0000591	5.6	30
tt0000594	5.3	20
tt0000595	5.1	18
tt0000596	4.9	25
tt0000597	5	80
tt0000598	5.2	39
tt0000599	3.9	16
tt0000601	5.8	15
tt0000602	4.2	268
tt0000606	7.4	18
tt0000608	5.8	26
tt0000609	4.8	22
tt0000610	4.9	23
tt0000611	4.4	22
tt0000613	4.2	14
tt0000614	6.5	1296
tt0000615	4.3	27
tt0000617	4.8	43
tt0000618	8.9	16
tt0000621	6.5	652
tt0000623	4.2	9
tt0000627	5.9	64
tt0000628	5.7	974
